,song_y,Similarity,song_x,artist_y,song_y_name,artist_id_y,artist_x,song_x_name,artist_id_x
0,10388,0.9768145485368415,10440,Foo Fighters,In The Clear,151,Foo Fighters,Rope,151
1,31602,0.4799756965026529,31615,Snoop Dogg,187,472,Snoop Dogg,Deep Cover,472
2,31374,0.21544069182031972,31615,Selena Gomez,Undercover,467,Snoop Dogg,Deep Cover,472
3,10401,0.43365771410549125,31634,Foo Fighters,Shake Your Blood,151,Snoop Dogg,I Wanna Rock,472
4,10442,0.175288702904672,31634,Foo Fighters,Stacked Actors,151,Snoop Dogg,I Wanna Rock,472
5,10445,0.10968577094438398,31634,Foo Fighters,The Colour And The Shape,151,Snoop Dogg,I Wanna Rock,472
6,31632,0.0807517480021869,31634,Snoop Dogg,Gz And Hustlas,472,Snoop Dogg,I Wanna Rock,472
7,31633,0.01720159043860087,31634,Snoop Dogg,Hi 2 U,472,Snoop Dogg,I Wanna Rock,472
8,10419,0.4156374447584619,10433,Foo Fighters,Big Me,151,Foo Fighters,Never Talking To You Again (Live),151
9,10383,0.12453300388241935,10433,Foo Fighters,How Do You Do?,151,Foo Fighters,Never Talking To You Again (Live),151
10,31616,0.3661906515899056,31624,Snoop Dogg,Dogg Named Snoop,472,Snoop Dogg,From Tha Chuuuch To Da Palace,472
11,31617,0.12700248966672295,31624,Snoop Dogg,Doggfather,472,Snoop Dogg,From Tha Chuuuch To Da Palace,472
12,10439,0.3538618172330629,31362,Foo Fighters,Resolve,151,Selena Gomez,Feel Me,467
13,31611,0.3325731682448294,31617,Snoop Dogg,C-Walkin,472,Snoop Dogg,Doggfather,472
14,31588,0.33212019904084267,31632,Snoop Dogg,Doggy Dogg World,472,Snoop Dogg,Gz And Hustlas,472
15,31624,0.26530940378375534,31632,Snoop Dogg,From Tha Chuuuch To Da Palace,472,Snoop Dogg,Gz And Hustlas,472
16,31614,0.2647214919488508,31632,Snoop Dogg,Deeez Nuuuts,472,Snoop Dogg,Gz And Hustlas,472
17,31626,0.20460329705545685,31632,Snoop Dogg,Gangbang Rookie,472,Snoop Dogg,Gz And Hustlas,472
18,31630,0.2021367321563183,31632,Snoop Dogg,Get Bout It Rowdy,472,Snoop Dogg,Gz And Hustlas,472
19,31601,0.18183264293106058,31632,Snoop Dogg,It Blows My Mind,472,Snoop Dogg,Gz And Hustlas,472
20,31623,0.1746723129916329,31632,Snoop Dogg,From Long Beach 2 Brick City,472,Snoop Dogg,Gz And Hustlas,472
21,31631,0.14143346191759984,31632,Snoop Dogg,Girl Like U,472,Snoop Dogg,Gz And Hustlas,472
22,10420,0.32853865825712353,10441,Foo Fighters,Cold Day In The Sun,151,Foo Fighters,Spill,151
23,10392,0.12523091161379682,10441,Foo Fighters,Kiss The Bottle,151,Foo Fighters,Spill,151
24,10414,0.31828155344783576,10452,Foo Fighters,A Matter of Time,151,Foo Fighters,Walking After You,151
25,10393,0.27439183260186156,10452,Foo Fighters,Kung Fu Fightin,151,Foo Fighters,Walking After You,151
26,10408,0.20057615252914593,10452,Foo Fighters,Throwing Needles,151,Foo Fighters,Walking After You,151
27,31608,0.317568920817551,31616,Snoop Dogg,Bathtub,472,Snoop Dogg,Dogg Named Snoop,472
28,31376,0.13720767936995157,31616,Selena Gomez,Write Your Name,467,Snoop Dogg,Dogg Named Snoop,472
29,31592,0.30643863017124456,31604,Snoop Dogg,Gangsta Ride,472,Snoop Dogg,2 Of Amerikaz Most Wanted,472
